season,team,logo,offense_completion_percentage,offense_total_yards_gained_pass,offense_total_yards_gained_run,offense_ave_yards_gained_pass,offense_ave_yards_gained_run,offense_total_air_yards,offense_ave_air_yards,offense_total_yac,offense_ave_yac,offense_n_plays_pass,offense_n_plays_run,offense_n_interceptions,offense_n_fumbles_lost_pass,offense_n_fumbles_lost_run,offense_total_epa_pass,offense_total_epa_run,offense_ave_epa_pass,offense_ave_epa_run,offense_total_wpa_pass,offense_total_wpa_run,offense_ave_wpa_pass,offense_ave_wpa_run,offense_success_rate_pass,offense_success_rate_run,defense_completion_percentage,defense_total_yards_gained_pass,defense_total_yards_gained_run,defense_ave_yards_gained_pass,defense_ave_yards_gained_run,defense_total_air_yards,defense_ave_air_yards,defense_total_yac,defense_ave_yac,defense_n_plays_pass,defense_n_plays_run,defense_n_interceptions,defense_n_fumbles_lost_pass,defense_n_fumbles_lost_run,defense_total_epa_pass,defense_total_epa_run,defense_ave_epa_pass,defense_ave_epa_run,defense_total_wpa_pass,defense_total_wpa_run,defense_ave_wpa_pass,defense_ave_wpa_run,defense_success_rate_pass,defense_success_rate_run,points_scored,points_allowed,wins,losses,ties,score_differential,team_name,home_stadium,location,state,lat,long,mascot,live_mascots,conference,division,superbowl_wins,year_est
2009,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2010,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2011,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2012,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,1,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2013,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2014,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2015,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2016,Los Angeles Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,0,,,,SoFi Stadium,"Inglewood, California",33.2535,-117.839,Rampage,,NFC,West,2,1937
2017,Los Angeles Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,0,,,,SoFi Stadium,"Inglewood, California",33.2535,-117.839,Rampage,,NFC,West,2,1937
2018,Los Angeles Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,0,,,,SoFi Stadium,"Inglewood, California",33.2535,-117.839,Rampage,,NFC,West,2,1937
2019,Los Angeles Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,,,,SoFi Stadium,"Inglewood, California",33.2535,-117.839,Rampage,,NFC,West,2,1937
2020,Los Angeles Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,0,,,,SoFi Stadium,"Inglewood, California",33.2535,-117.839,Rampage,,NFC,West,2,1937
2021,Los Angeles Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,0,,,,SoFi Stadium,"Inglewood, California",33.2535,-117.839,Rampage,,NFC,West,2,1937
2022,Los Angeles Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,0,,,,SoFi Stadium,"Inglewood, California",33.2535,-117.839,Rampage,,NFC,West,2,1937
1999,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2000,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2001,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2002,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2003,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2004,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2005,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2006,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2007,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2008,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2009,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2010,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2011,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2012,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2013,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2014,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2015,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2016,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,1,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2017,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2018,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2019,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2020,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2021,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,0,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
2022,Washington Commanders,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/washington-commanders-logo-480x480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,1,,,,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932
1999,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.4774624373956594,2796,1209,4.667779632721203,3.1484375,0,,0,,599,384,28,4,5,-121.9738973,-71.17154579,-0.203629211,-0.185342567,-3.528762914,-2.196875261,-0.00589109,-0.005721029,0.3589315525876458,0.34375,0.5572519083969466,3143,2258,5.998091603053432,4.35067437379576,0,,0,0,524,519,17,5,3,-8.645207406,4.927996990271672,-0.016498487,0.0094951772452252,-2.161615308,-0.336979386,-0.00412522,-0.000649286,0.4217557251908395,0.4142581888246628,245,382,6,10,0,-137,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2000,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.5351629502572902,3161,1258,5.421955403087477,3.678362573099415,0,,0,,583,342,23,8,7,-75.53218843,-71.01234686,-0.129557785,-0.207638441,-1.309192172,-2.375274847,-0.002245613,-0.006945248,0.3945111492281307,0.3654970760233918,0.6168421052631576,3111,2549,6.549473684210526,4.471929824561404,0,,0,,475,570,8,5,5,78.63567196516883,32.51519869654008,0.1655487830845658,0.0570442082395439,-0.428851631,0.4552327001908076,-0.000902846,0.0007986538599838697,0.4673684210526316,0.4473684210526315,210,443,3,13,0,-233,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2001,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.5477477477477479,3449,1457,6.214414414414413,3.660804020100503,0,,0,,555,398,14,4,6,27.72501361444038,-60.17172691,0.0499549794854781,-0.151185243,0.1557850744486114,-1.515494598,0.0002806938278353285,-0.003807775,0.407207207207207,0.364321608040201,0.588132635253054,3600,2089,6.282722513089011,4.203219315895373,0,,0,,573,497,17,1,4,49.66318332088421,-22.64717383,0.0866722222004964,-0.045567754,1.5564400744600415,-0.442415336,0.0027163003044677,-0.000890172,0.4520069808027921,0.4084507042253522,295,343,7,9,0,-48,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2002,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.4932203389830509,2742,1824,4.6474576271186425,4.416464891041163,0,,0,,590,413,22,4,9,-79.57354559,-33.07893616,-0.134870416,-0.080094276,-1.425750647,-1.629970347,-0.002416527,-0.003946659,0.3898305084745763,0.3559322033898305,0.6046931407942239,3874,2151,6.992779783393502,4.4442148760330555,0,,0,,554,484,17,4,2,85.1298846504694,-1.403998942,0.1536640517156484,-0.002900824,0.7263933818936529,0.3374300912001868,0.0013111793896997,0.0006971696099177522,0.4638989169675092,0.4318181818181819,262,417,5,11,0,-155,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2003,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.5251299826689777,2959,1534,5.128249566724438,3.797029702970297,0,,0,,577,404,22,7,5,-108.2518455,-65.74808444,-0.187611517,-0.162742783,-1.489667408,-1.784837837,-0.002581746,-0.004417915,0.3830155979202774,0.3811881188118812,0.6003861003861003,3589,1924,6.928571428571428,4.1376344086021515,0,,0,,518,465,13,5,6,93.94813894110534,-20.10932383,0.1813670635928677,-0.043245858,1.4425756343821494,-0.234850894,0.0027848950470697,-0.000505056,0.4942084942084941,0.4064516129032258,225,452,4,12,0,-227,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2004,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.5209059233449477,2882,1684,5.020905923344951,3.6059957173447534,0,,0,,574,467,18,6,3,-77.34437527,-45.84488878,-0.134746298,-0.098168927,-2.761598476,-1.716165191,-0.004811147,-0.003674872,0.3867595818815331,0.3447537473233405,0.4963369963369963,3040,2124,5.567765567765569,4.8493150684931505,0,,0,,546,438,15,6,9,-31.51521907,-41.41646639,-0.057720181,-0.094558142,-2.343145201,-0.776944915,-0.004291475,-0.001773847,0.399267399267399,0.3767123287671233,284,322,6,10,0,-38,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2005,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.5868347338935577,4435,1151,6.211484593837535,3.2240896358543423,0,,0,,714,357,21,9,5,6.408301774154119,-82.17488061,0.0089752125688435,-0.230181738,0.2890764179859604,-3.417101102,0.00040486893275343765,-0.009571712,0.4397759103641455,0.3473389355742297,0.5730550284629979,3091,1643,5.865275142314989,4.1075,0,,0,,527,400,15,7,4,-30.29678491,-27.6512008,-0.057489155,-0.069128002,-0.732760186,-0.842550778,-0.001390437,-0.002106377,0.4440227703984819,0.3724999999999999,311,387,5,11,0,-76,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2006,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.5611888111888111,3662,1350,6.402097902097903,3.2766990291262124,4284,8.007476635514015,1582,4.943750000000001,572,412,17,5,5,4.796972102770331,-59.00025399,0.0083863148649828,-0.1432045,0.0514371297153921,-1.549863807,8.992505194999374e-05,-0.003761805,0.4335664335664337,0.3834951456310679,0.5763016157989229,3698,1910,6.639138240574506,4.2729306487695755,4577,8.852998065764021,1642,5.131250000000004,557,447,16,9,8,13.368517456236702,-62.486228,0.0240009290058107,-0.139790219,0.8331617277600679,-1.366728085,0.0014958020247038,-0.003057557,0.452423698384201,0.4026845637583893,314,389,5,11,0,-75,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2007,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.5833333333333334,4057,1455,6.62908496732026,3.692893401015229,5048,8.599659284497442,1588,4.4606741573033695,612,394,24,9,3,2.970457049820825,-38.30774723,0.0048536879899031,-0.097227785,0.8396397173324398,-0.923319096,0.0013719603224386,-0.002343449,0.4673202614379084,0.3654822335025379,0.5957095709570955,3718,1585,6.135313531353131,4.002525252525253,4197,7.415194346289754,1823,5.077994428969358,606,396,18,5,5,-9.365794192,-52.30699758,-0.015455106,-0.132088378,-0.942220285,-0.765678828,-0.001554819,-0.001933532,0.4735973597359734,0.3484848484848484,404,399,8,8,0,5,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2008,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.6348484848484848,4673,1197,7.080303030303028,3.6944444444444455,4592,7.312101910828026,2205,5.262529832935561,660,324,15,11,2,85.7010990210322,-36.66492626,0.1298501500318678,-0.113163353,2.684960469740549,-1.079770178,0.0040681219238493,-0.003332624,0.4969696969696974,0.3487654320987653,0.5883424408014571,3540,1788,6.448087431693988,4.148491879350348,4068,7.88372093023256,1926,5.96284829721362,549,431,13,10,6,47.35266633002559,-16.8140282,0.0862525798361117,-0.039011666,0.398954432486768,-0.828462529,0.0007266929553493009,-0.001922187,0.4608378870673952,0.3990719257540603,427,426,9,7,0,1,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2009,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.6400651465798046,4021,1506,6.54885993485342,4.365217391304348,4579,7.7874149659863985,1770,4.50381679389313,614,345,18,9,7,18.54217321452243,-39.53934084,0.0301989791767469,-0.114606785,1.2034083088132057,-0.256345077,0.0019599483856892,-0.000743029,0.4967426710097721,0.382608695652174,0.5440251572327043,3744,1812,5.886792452830192,4.598984771573604,5398,9.10286677908938,1752,5.063583815028901,636,394,21,5,1,-34.48736823,-29.30868317,-0.054225422,-0.074387521,0.0862817300880047,-0.86429555,0.0001356630976226493,-0.002193644,0.4276729559748428,0.3477157360406093,375,325,10,6,0,50,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
2010,Arizona Cardinals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-arizona-cardinals-team-logo-2-768x768.png,0.4664484451718494,2913,1388,4.767594108019642,4.32398753894081,5260,9.409660107334524,1068,3.747368421052632,611,321,19,6,5,-169.6091824,-40.1192959,-0.27759277,-0.12498223,-3.044475549,-1.644316601,-0.004982775,-0.005122482,0.3698854337152209,0.3613707165109035,0.5734513274336284,3654,2340,6.467256637168145,4.579256360078278,4267,8.020676691729324,1767,5.453703703703703,565,511,17,4,7,15.107990276757311,-43.43906279,0.0267398057995701,-0.085007951,0.1226112684321044,-0.315141421,0.0002170110945701112,-0.000616715,0.4247787610619469,0.3816046966731899,289,434,5,11,0,-145,Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",Arizona,33.527283,-112.263275,Big Red,,NFC,West,0,1898
